country,average
Algeria,800m
Andorra,"1,996m"
Angola,"1,112m"
Antarctica,"2,300m"
Argentina,595m
Armenia,"1,792m"
Australia,330m
Austria,910m
Azerbaijan,384m
Bangladesh,85m
Belarus,160m
Belgium,181m
Belize,173m
Benin,273m
Bhutan,"3,280m"
Bolivia,"1,192m"
Bosnia and Herzegovina,500m
Botswana,"1,013m"
Brazil,320m
Brunei,478m
Bulgaria,472m
Burkina Faso,297m
Burma,702m
Burundi,"1,504m"
Cambodia,126m
Cameroon,667m
Canada,487m
Central African Republic,635m
Chad,543m
Chile,"1,871m"
China,"1,840m"
Colombia,593m
Congo,430m
CongoDR,726m
Corsica,568m
Costa Rica,746m
Croatia,331m
Cuba,108m
Cyprus,91m
Czech Republic,433m
Denmark,34m
Djibouti,430m
Dominican Republic,424m
Ecuador,"1,117m"
Egypt,321m
El Salvador,442m
Estonia,61m
Equatorial Guinea,577m
Eritrea,853m
Ethiopia,"1,330m"
Finland,164m
France,375m
French Guiana,168m
Gabon,377m
Gambia,34m
Georgia,"1,432m"
Germany,263m
Ghana,190m
Greece,498m
Greenland,"1,792m"
Guatemala,759m
Guinea,472m
Guinea-Bissau,70m
Guyana,207m
Haiti,470m
Honduras,684m
Hungary,143m
Iceland,557m
India,160m
Indonesia,367m
Iran,"1,305m"
Iraq,312m
Ireland,118m
Israel,508m
Italy,538m
Ivory Coast,250m
Jamaica,18m
Japan,438m
Jordan,812m
Kazakhstan,387m
Kenya,762m
Kuwait,108m
Kyrgyzstan,"2,988m"
Latvia,87m
Laos,710m
Lebanon,"1,250m"
Lesotho,"2,161m"
Liberia,243m
Libya,423m
Lithuania,110m
Luxembourg,325m
Macedonia,741m
Madagascar,615m
Malawi,779m
Malaysia,538m
Maldives,1.8m
Mali,343m
Mauritania,276m
Mexico,"1,111m"
Moldova,139m
Mongolia,"1,528m"
Montenegro,"1,086m"
Morocco,909m
Mozambique,345m
Namibia,"1,141m"
Nepal,"3,265m"
Netherlands,30m
New Zealand,388m
Nicaragua,298m
Niger,474m
Nigeria,380m
North Korea,400m
Norway,460m
Oman,310m
Pakistan,900m
Panama,360m
Papua New Guinea,667m
Paraguay,178m
Peru,"1,555m"
Philippines,442m
Poland,173m
Portugal,372m
Puerto Rico,261m
Qatar,28m
Romania,414m
Rwanda,"1,598m"
Russia,600m
Saudi Arabia,665m
Senegal,69m
Serbia,442m
Sierra Leone,279m
Slovakia,458m
Slovenia,492m
Somalia,410m
South Africa,"1,034m"
South Korea,282m
Spain,660m
Sri Lanka,228m
Sudan,568m
Suriname,246m
Swaziland,305m
Sweden,320m
Switzerland,"1,350m"
Syria,514m
Tajikistan,"3,186m"
Taiwan,"1,150m"
Tanzania,"1,018m"
Thailand,287m
Togo,236m
Trinidad and Tobago,83m
Tunisia,246m
Turkey,"1,132m"
Turkmenistan,230m
Ukraine,175m
United Arab Emirates,149m
United Kingdom,162m
United States,760m
Uruguay,109m
Venezuela,450m
Vietnam,398m
Western Sahara,256m
Yemen,999m
Zambia,"1,138m"
Zimbabwe,961m
