country,land_locked
Afghanistan,true
Albania,false
Algeria,false
American Samoa,false
Andorra,true
Angola,false
Anguilla,false
Antarctica,false
Antigua and Barbuda,false
Argentina,false
Armenia,true
Aruba,false
Australia,false
Austria,true
Azerbaijan,true
Bahamas,false
Bahrain,false
Bangladesh,false
Barbados,false
Belarus,true
Belgium,false
Belize,false
Benin,false
Bermuda,false
Bhutan,true
Bolivia,true
Bosnia and Herzegovina,false
Botswana,true
Bouvet Island,false
Brazil,false
British Indian Ocean Territory,false
Brunei,false
Bulgaria,false
Burkina Faso,true
Burundi,true
Cambodia,false
Cameroon,false
Canada,false
Cape Verde,false
Cayman Islands,false
Central African Republic,true
Chad,true
Chile,false
China,false
Christmas Island,false
Cocos (Keeling) Islands,false
Colombia,false
Comoros,false
Congo,false
"Congo, The Democratic Republic of the",false
Cook Islands,false
Costa Rica,false
Ivory Coast,false
Croatia,false
Cuba,false
Cyprus,false
Czech Republic,true
Denmark,false
Djibouti,false
Dominica,false
Dominican Republic,false
East Timor,false
Ecuador,false
Egypt,false
England,false
El Salvador,false
Equatorial Guinea,false
Eritrea,false
Estonia,false
Ethiopia,true
Falkland Islands,false
Faroe Islands,false
Fiji Islands,false
Finland,false
France,false
French Guiana,false
French Polynesia,false
French Southern territories,false
Gabon,false
Gambia,false
Georgia,false
Germany,false
Ghana,false
Gibraltar,false
Greece,false
Greenland,false
Grenada,false
Guadeloupe,false
Guam,false
Guatemala,false
Guinea,false
Guinea-Bissau,false
Guyana,false
Haiti,false
Heard Island and McDonald Islands,false
Honduras,false
Hong Kong,false
Hungary,true
Iceland,false
India,false
Indonesia,false
Iran,false
Iraq,false
Ireland,false
Israel,false
Italy,false
Jamaica,false
Japan,false
Jordan,false
Kazakstan,true
Kenya,false
Kiribati,false
Kuwait,false
Kyrgyzstan,true
Laos,true
Latvia,false
Lebanon,false
Lesotho,true
Liberia,false
Libyan Arab Jamahiriya,false
Liechtenstein,true
Lithuania,false
Luxembourg,true
Macao,false
Macedonia,true
Madagascar,false
Malawi,true
Malaysia,false
Maldives,false
Mali,true
Malta,false
Marshall Islands,false
Martinique,false
Mauritania,false
Mauritius,false
Mayotte,false
Mexico,false
"Micronesia, Federated States of",false
Moldova,true
Monaco,false
Mongolia,true
Montserrat,false
Morocco,false
Mozambique,false
Myanmar,false
Namibia,false
Nauru,false
Nepal,true
Netherlands,false
Netherlands Antilles,false
New Caledonia,false
New Zealand,false
Nicaragua,false
Niger,true
Nigeria,false
Niue,false
Norfolk Island,false
North Korea,false
Northern Ireland,false
Northern Mariana Islands,false
Norway,false
Oman,false
Pakistan,false
Palau,false
Palestine,false
Panama,false
Papua New Guinea,false
Paraguay,true
Peru,false
Philippines,false
Pitcairn,false
Poland,false
Portugal,false
Puerto Rico,false
Qatar,false
Reunion,false
Romania,false
Russian Federation,false
Rwanda,true
Saint Helena,false
Saint Kitts and Nevis,false
Saint Lucia,false
Saint Pierre and Miquelon,false
Saint Vincent and the Grenadines,false
Samoa,false
San Marino,true
Sao Tome and Principe,false
Saudi Arabia,false
Scotland,false
Senegal,false
Serbia,true
Seychelles,false
Sierra Leone,false
Singapore,false
Slovakia,true
Slovenia,false
Solomon Islands,false
Somalia,false
South Africa,false
South Georgia and the South Sandwich Islands,false
South Korea,false
South Sudan,true
Spain,false
SriLanka,false
Sudan,false
Suriname,false
Svalbard and Jan Mayen,false
Swaziland,true
Sweden,false
Switzerland,true
Syria,false
Taiwan,false
Tajikistan,true
Tanzania,false
Thailand,false
Togo,false
Tokelau,false
Tonga,false
Trinidad and Tobago,false
Tunisia,false
Turkey,false
Turkmenistan,true
Turks and Caicos Islands,false
Tuvalu,false
Uganda,true
Ukraine,false
United Arab Emirates,false
United Kingdom,false
United States,false
United States Minor Outlying Islands,false
Uruguay,false
Uzbekistan,true
Vatican City,true
Vanuatu,false
Venezuela,false
Vietnam,false
"Virgin Islands, British",false
"Virgin Islands, U.S.",false
Wales,false
Wallis and Futuna,false
Western Sahara,false
Yemen,false
Yugoslavia,false
Zambia,true
Zimbabwe,true
