country,emblem_type,name
Australia,animal,Kangaroo
Bangladesh,Flower,Water Lily
Barbados,Other,Head of a Trident
Belgium,animal,Lion
Canada,Flower,White Lily
Chile,Other,Candor & Huemul
Denmark,animal,Mute Swan
Dominica,animal,Sisserou Parrot
England,animal,Barbary Lion
Eritrea,animal,Arabian Camel
Ethiopia,animal,The Ibex Goat
France,Flower,Lily
Germany,Flower,Corn Flower
Guyana,animal,Canje Pheasant
Hong Kong,Flower,Bauhinia (Orchid Tree)
India,animal,Lioned Capital
Iran,Flower,Rose
Ireland,Flower,Shamrock
Israel,Other,Candelabrum
Italy,Flower,White Lily
Ivory Coast,animal,Coast Elephant
Japan,Flower,Chrysanthemum
Lebanon,Tree,Cedar Tree
Luxenbourg,animal,Lion with Crown
Mongolia,Other,The Soyombo
Netherlands,animal,Lion
New Zealand,animal,"Southern Cross, Kiwi, Fern"
Norway,animal,Lion
Pakistan,Other,Crescent
Papua,animal,New Guinea Bird of paradise
Scotland,Other,Unicorn
Senegal,Tree,Bhobab Tree
Sierra Leone,animal,Lion
Spain,animal,Eagle
Sri Lanka,animal,Lion
Sudan,animal,Secretary Bird
Syria,animal,Eagle
Turkey,Other,Crescent & Star
U.S.A.,Flower,Rose
Wales,animal,Dragon
